frame_seq,frame_number,total_packets,received_packets,lost_packets,loss_rate,timestamp_us,target_bitrate_kbps
0,1,4,4,0,0.0000,1052915455772,300
1,2,1,1,0,0.0000,1052915489990,300
2,3,2,2,0,0.0000,1052915541001,300
3,4,4,4,0,0.0000,1052915550020,1954
4,5,13,13,0,0.0000,1052915621944,300
5,6,8,8,0,0.0000,1052915723289,301
6,7,7,7,0,0.0000,1052915767815,301
7,8,3,3,0,0.0000,1052915787333,1800
8,9,3,3,0,0.0000,1052915887466,3958
9,10,3,3,0,0.0000,1052915984825,5000
10,11,4,4,0,0.0000,1052916018262,5000
11,12,3,3,0,0.0000,1052916049596,5000
12,13,4,4,0,0.0000,1052916083521,5000
13,14,4,4,0,0.0000,1052916116848,5000
14,15,3,3,0,0.0000,1052916151271,5000
15,16,4,4,0,0.0000,1052916187048,5000
16,17,3,3,0,0.0000,1052916216992,5000
17,18,3,3,0,0.0000,1052916250884,5000
18,19,4,4,0,0.0000,1052916284304,5000
19,20,4,4,0,0.0000,1052916316880,5000
20,21,6,6,0,0.0000,1052916350249,5000
21,22,5,5,0,0.0000,1052916384236,5000
22,23,10,10,0,0.0000,1052916417929,5000
23,24,5,5,0,0.0000,1052916450917,5000
24,25,5,5,0,0.0000,1052916484227,5000
25,26,5,5,0,0.0000,1052916517800,5000
26,27,5,5,0,0.0000,1052916551009,5000
27,28,5,5,0,0.0000,1052916589757,5000
28,29,6,6,0,0.0000,1052916617221,5000
29,30,6,6,0,0.0000,1052916652338,5000
30,31,7,7,0,0.0000,1052916687958,5000
31,32,5,5,0,0.0000,1052916721616,5000
32,33,8,8,0,0.0000,1052916751972,5000
33,34,6,6,0,0.0000,1052916787503,5000
34,35,10,10,0,0.0000,1052916819000,5000
35,36,6,6,0,0.0000,1052916854453,5000
36,37,8,8,0,0.0000,1052916885950,5000
37,38,4,4,0,0.0000,1052916917176,5000
38,39,10,10,0,0.0000,1052916952040,5000
39,40,4,4,0,0.0000,1052916984230,5000
40,41,6,6,0,0.0000,1052917018012,5000
41,42,12,12,0,0.0000,1052917052964,5000
42,43,8,8,0,0.0000,1052917088431,5000
43,44,6,6,0,0.0000,1052917119036,5000
44,45,6,6,0,0.0000,1052917151651,5000
45,46,4,4,0,0.0000,1052917184529,5000
46,47,7,7,0,0.0000,1052917218672,5000
47,48,16,16,0,0.0000,1052917252128,5000
48,49,3,3,0,0.0000,1052917286199,5000
49,50,9,9,0,0.0000,1052917320133,5000
50,51,6,6,0,0.0000,1052917353070,5000
51,52,5,5,0,0.0000,1052917389196,5000
52,53,9,9,0,0.0000,1052917419114,5000
53,54,8,8,0,0.0000,1052917452495,5000
54,55,7,7,0,0.0000,1052917484166,5000
55,56,7,7,0,0.0000,1052917517400,5000
56,57,7,7,0,0.0000,1052917552794,5000
57,58,7,7,0,0.0000,1052917584547,5000
58,59,7,7,0,0.0000,1052917618012,5000
59,60,7,7,0,0.0000,1052917653812,5000
60,61,7,7,0,0.0000,1052917684970,5000
61,62,7,7,0,0.0000,1052917719240,5000
62,63,7,7,0,0.0000,1052917754017,5000
63,64,7,7,0,0.0000,1052917787839,5000
64,65,7,7,0,0.0000,1052917817780,5000
65,66,6,6,0,0.0000,1052917855681,5000
66,67,6,6,0,0.0000,1052917889755,5000
67,68,6,6,0,0.0000,1052917917203,5000
68,69,6,6,0,0.0000,1052917950251,5000
69,70,6,6,0,0.0000,1052917985942,5000
70,71,6,6,0,0.0000,1052918017889,5000
71,72,6,6,0,0.0000,1052918050811,5000
72,73,6,6,0,0.0000,1052918084167,5000
73,74,6,6,0,0.0000,1052918122033,5000
74,75,5,5,0,0.0000,1052918151952,5000
75,76,5,5,0,0.0000,1052918190281,5000
76,77,5,5,0,0.0000,1052918222556,5000
77,78,5,5,0,0.0000,1052918251335,5000
78,79,5,5,0,0.0000,1052918283895,5000
79,80,5,5,0,0.0000,1052918316804,5000
80,81,5,5,0,0.0000,1052918350297,5000
81,82,5,5,0,0.0000,1052918386547,5000
82,83,5,5,0,0.0000,1052918417062,5000
83,84,4,4,0,0.0000,1052918450630,5000
84,85,4,4,0,0.0000,1052918487129,5000
85,86,4,4,0,0.0000,1052918519877,5000
86,87,4,4,0,0.0000,1052918557337,5000
87,88,4,4,0,0.0000,1052918596502,5000
88,89,4,4,0,0.0000,1052918617704,5000
89,90,4,4,0,0.0000,1052918652799,5000
90,91,5,5,0,0.0000,1052918685295,5000
91,92,6,6,0,0.0000,1052918718763,5000
92,93,6,6,0,0.0000,1052918751445,5000
93,94,7,7,0,0.0000,1052918785519,5000
94,95,7,7,0,0.0000,1052918818059,5000
95,96,7,7,0,0.0000,1052918850220,5000
96,97,6,6,0,0.0000,1052918885329,5000
97,98,6,6,0,0.0000,1052918917866,5000
98,99,6,6,0,0.0000,1052918951836,5000
99,100,7,7,0,0.0000,1052918989111,5000
100,101,17,17,0,0.0000,1052919024123,5000
101,102,24,24,0,0.0000,1052919052473,5000
102,103,28,28,0,0.0000,1052919087724,5000
103,104,19,19,0,0.0000,1052919131145,5000
104,105,17,17,0,0.0000,1052919152039,5000
105,106,18,18,0,0.0000,1052919186881,5000
106,107,13,13,0,0.0000,1052919218701,5000
107,108,13,13,0,0.0000,1052919255361,5000
108,109,12,12,0,0.0000,1052919285989,5000
109,110,12,12,0,0.0000,1052919319805,5000
110,111,12,12,0,0.0000,1052919350620,5000
111,112,11,11,0,0.0000,1052919385948,5000
112,113,11,11,0,0.0000,1052919418812,5000
